,1m return,3m return,6m return,1y return
SPY,2.34,6.89,10.94,25.16
VHI,38.44,50.18,114.31,120.62
TPC,-3.70,8.66,111.56,169.63
BFH,6.58,39.30,51.96,54.79
ENVA,-0.86,39.06,35.54,69.93
COMM,49.03,168.06,231.33,15.57
CYH,3.61,37.63,95.34,61.24
GDX,1.82,9.41,46.51,31.99
JEF,2.53,28.87,43.35,67.97
PFSI,10.07,19.14,27.16,50.48
MHO,-4.47,27.58,25.50,62.32
CVNA,13.05,50.65,98.37,199.15
BTC-USD,-8.33,-12.23,-3.20,128.44
