,1m return,3m return,6m return,1y return
SPY,3.81,6.80,9.91,24.93
VHI,57.04,45.90,117.17,118.64
TPC,1.05,10.72,102.28,170.85
BFH,14.55,40.85,51.96,50.19
ENVA,1.91,41.21,35.78,68.16
COMM,53.78,155.63,240.09,10.29
CYH,8.78,44.18,89.90,52.66
GDX,3.62,8.76,41.31,32.76
JEF,6.22,29.96,43.39,64.97
PFSI,13.30,18.81,26.46,48.41
MHO,-0.85,25.17,21.49,58.12
CVNA,2.80,52.20,81.56,196.20
BTC-USD,-11.74,-14.80,-7.61,123.00
